City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Ambon,ID,78.48,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
351,Suba,PH,83.05,overcast clouds,10.8438,121.0102,Casita Bed and Grill
353,Chabahar,IR,83.57,few clouds,25.2919,60.643,هتل گدروشیا
354,Menongue,AO,79.68,broken clouds,-14.6585,17.691,Ritz Lauca
355,Thaton,MM,76.15,moderate rain,16.9206,97.3714,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
356,Jabinyanah,TN,79.83,overcast clouds,35.035,10.9081,maison belmabrouk
357,Celestun,MX,87.48,scattered clouds,20.8667,-90.4,Posada Lilia
359,Santa Cruz,BO,87.76,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
365,Calabozo,VE,85.82,overcast clouds,8.9242,-67.4293,Hotel Giardini
366,Manggar,ID,80.08,overcast clouds,-2.8833,108.2667,Guest Hotel
368,Shenjiamen,CN,75.6,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
371,Corsicana,US,86.14,broken clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
374,Ettaiyapuram,IN,85.21,few clouds,9.1441,77.9907,NR Mahal & Rooms
375,Trelew,AR,75.47,clear sky,-43.249,-65.3051,Hotel Touring Club
376,Lamu,KE,76.59,few clouds,-2.2717,40.902,Lamu House
382,Sakakah,SA,88.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
387,Kununurra,AU,79.63,overcast clouds,-15.7667,128.7333,Hotel Kununurra
388,Panalingaan,PH,76.77,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
390,Mogadishu,SO,77.25,scattered clouds,2.0371,45.3438,Hotel Juba
391,Sola,VU,78.64,broken clouds,-13.8833,167.55,Leumerus Bungalows
396,Valle De Allende,MX,79.47,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
397,Cabedelo,BR,81.09,clear sky,-6.9811,-34.8339,Hotel Pigalle
402,Ugoofaaru,MV,83.34,broken clouds,5.6667,73.0,Ungoofaaru Inn
404,Yanam,IN,78.22,overcast clouds,16.7333,82.2167,The Regency Hotel
406,Lingao,CN,79.16,light rain,19.9103,109.6859,Lingao Ditai Inn
408,Bitung,ID,77.63,overcast clouds,1.4451,125.1824,K2 Lembeh
409,Maragogi,BR,79.61,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
411,Shingu,JP,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
420,Kloulklubed,PW,82.49,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
423,Armeria,MX,89.17,scattered clouds,18.9333,-103.9667,Hotel la Herradura
427,Itarema,BR,85.51,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
428,Bonanza,NI,85.68,broken clouds,14.0289,-84.591,Edificio Administrativo HEMCO
429,Kinkala,CG,78.73,broken clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
430,Naze,JP,75.79,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
431,Bud,US,78.22,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
437,Thayetmyo,MM,75.76,broken clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
444,Meulaboh,ID,76.05,overcast clouds,4.1363,96.1285,Kost Pria
446,Bubaque,GW,82.08,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
451,Narsipatnam,IN,78.58,overcast clouds,17.6667,82.6167,Lodge Vooda Residency AC
452,Husainabad,IN,77.32,few clouds,24.5333,84.0167,Mehdinager
454,Alyangula,AU,78.75,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
455,Basco,PH,84.02,few clouds,20.4487,121.9702,Nathaniel's Lodge
459,Puerto Cabello,VE,83.41,broken clouds,10.4731,-68.0125,Hotel Cumboto
461,Grand-Santi,GF,87.89,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
462,Najran,SA,83.19,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
465,Nicoya,CR,86.32,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
470,Elizabeth City,US,86.02,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
474,Lithakia,GR,76.32,scattered clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
478,Banikoara,BJ,79.83,light rain,11.2985,2.4386,Hôtel de l'UCom CVPC
482,Westport,US,77.14,broken clouds,41.1415,-73.3579,The Westport Inn
483,Grand-Lahou,CI,77.31,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
484,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
500,Forestville,US,82.15,overcast clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
503,Erzin,TR,79.0,clear sky,36.9559,36.2,Artemis Otel
508,Abidjan,CI,78.62,broken clouds,5.3094,-4.0197,ibis Abidjan Plateau
509,Tiarei,PF,77.68,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
514,Hwange,ZW,81.66,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
515,Pundaguitan,PH,81.88,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
518,Macae,BR,87.62,clear sky,-22.3708,-41.7869,Personal Hotel
522,Auki,SB,76.23,broken clouds,-8.7676,160.7034,Auki Motel
523,Mayo,US,83.34,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
524,Riyadh,SA,87.71,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
528,Takoradi,GH,78.06,scattered clouds,4.8845,-1.7554,Raybow International Hotel
532,Xuddur,SO,77.76,overcast clouds,4.1213,43.8894,Banjanay Hotel
534,Bhuj,IN,81.97,broken clouds,23.2667,69.6667,Regenta Resort Bhuj
536,Banjar,ID,76.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
537,Batticaloa,LK,82.99,scattered clouds,7.7102,81.6924,Grand Star Guest House
538,Sirsa,IN,84.69,scattered clouds,29.5333,75.0167,Hotel Capital
539,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
544,Brigantine,US,81.03,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
