City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Peleduy,RU,59.6289,112.7406,41.49,95,100,4.79,light rain
156,Tuatapere,NZ,-46.1333,167.6833,44.82,91,59,3.85,broken clouds
157,Tiksi,RU,71.6872,128.8694,32.54,72,100,4.18,overcast clouds
158,Harper,LR,4.375,-7.7169,78.75,84,42,9.13,scattered clouds
159,Terrace,CA,54.5163,-128.6035,53.42,99,100,2.57,moderate rain
160,Amuntai,ID,-2.4177,115.2494,72.09,99,100,0.87,overcast clouds
161,Jefferson City,US,38.5767,-92.1735,68.05,55,65,16.22,broken clouds
162,Cabo San Lucas,MX,22.8909,-109.9124,89.62,74,93,1.01,overcast clouds
163,Vanimo,PG,-2.6741,141.3028,78.04,89,100,4.23,overcast clouds
164,Pangoa,PE,-12.1167,-73.0,91.18,36,44,5.66,scattered clouds
165,Jumla,NP,29.2747,82.1838,57.7,89,51,3.22,broken clouds
166,Honiara,SB,-9.4333,159.95,76.15,86,29,3.76,scattered clouds
167,Soyo,AO,-6.1349,12.3689,75.45,86,23,10.11,few clouds
168,Vao,NC,-22.6667,167.4833,71.38,75,96,14.76,overcast clouds
169,Gao,ML,16.6362,1.637,101.88,14,51,7.38,broken clouds
170,Qaqortoq,GL,60.7167,-46.0333,38.61,58,100,9.71,overcast clouds
171,Innisfail,AU,-17.5333,146.0333,63.9,46,42,7.76,scattered clouds
172,Ekibastuz,KZ,51.6667,75.3667,43.21,57,100,7.43,overcast clouds
173,Chuy,UY,-33.6971,-53.4616,57.76,67,3,15.55,clear sky
174,Victoria,HK,22.2855,114.1577,85.32,82,54,6.2,light rain
175,Saint George,US,37.1041,-113.5841,79.63,17,0,1.01,clear sky
176,Kasongo-Lunda,CD,-6.4667,16.8167,84.65,43,69,1.3,broken clouds
177,Kinshasa,CD,-4.3246,15.3215,84.81,50,70,4.99,broken clouds
178,Izhma,RU,65.0083,53.9113,42.39,71,100,5.55,overcast clouds
179,Provideniya,RU,64.3833,-173.3,32.29,87,100,11.43,overcast clouds
180,Almaznyy,RU,48.0448,40.045,53.31,66,55,7.09,broken clouds
181,Eureka,US,40.8021,-124.1637,85.19,55,0,1.01,clear sky
182,Portland,US,45.5234,-122.6762,76.44,50,1,1.99,clear sky
183,Kruisfontein,ZA,-34.0033,24.7314,52.88,86,89,2.37,overcast clouds
184,Denia,ES,38.8408,0.1057,73.54,86,81,14.0,moderate rain
185,Korla,CN,41.7597,86.1469,73.65,27,11,12.93,few clouds
186,Champerico,GT,14.3,-91.9167,89.76,73,81,7.92,broken clouds
187,Itoman,JP,26.1247,127.6694,81.37,75,1,6.49,clear sky
188,Waingapu,ID,-9.6567,120.2641,77.77,84,93,8.93,overcast clouds
189,Chupa,RU,66.27,33.0549,36.01,90,50,5.91,scattered clouds
190,Port-Gentil,GA,-0.7193,8.7815,77.29,83,99,16.44,overcast clouds
191,Pandan,PH,14.0453,124.1694,79.86,84,98,5.86,overcast clouds
192,Trat,TH,12.5,102.5,75.18,97,66,4.59,broken clouds
193,Vila Velha,BR,-20.3297,-40.2925,83.21,65,1,14.97,clear sky
194,Tirupati,IN,13.65,79.4167,83.57,61,94,2.15,overcast clouds
195,Sibu,MY,2.3,111.8167,73.27,95,100,2.44,overcast clouds
196,Dubai,AE,25.2582,55.3047,89.04,67,12,7.78,few clouds
197,Lompoc,US,34.6391,-120.4579,92.21,53,0,3.0,clear sky
198,Nurota,UZ,40.5614,65.6886,64.53,15,0,8.14,clear sky
199,Geraldton,AU,-28.7667,114.6,66.27,30,0,11.92,clear sky
200,Rudraprayag,IN,30.2833,78.9833,72.1,96,61,0.47,broken clouds
201,Shache,CN,38.4167,77.2406,73.6,15,0,3.02,clear sky
202,Esperance,AU,-33.8667,121.9,55.94,42,0,16.93,clear sky
203,Plouzane,FR,48.3833,-4.6167,61.09,79,30,13.85,scattered clouds
204,Libourne,FR,44.9167,-0.25,69.58,56,27,3.94,scattered clouds
205,Ahipara,NZ,-35.1667,173.1667,58.35,88,100,13.31,overcast clouds
206,Inhambane,MZ,-23.865,35.3833,69.37,85,12,15.01,few clouds
207,Bethel,US,41.3712,-73.414,75.58,73,50,7.81,scattered clouds
208,Takhatgarh,IN,25.3333,73.0,79.77,79,100,9.62,overcast clouds
209,Port Elizabeth,ZA,-33.918,25.5701,54.1,78,96,1.41,overcast clouds
210,Cockburn Town,TC,21.4612,-71.1419,83.48,76,4,17.29,clear sky
211,Sawakin,SD,19.1059,37.3321,90.43,54,1,7.34,clear sky
212,Tigil,RU,57.8,158.6667,44.19,92,100,3.02,overcast clouds
213,Aloleng,PH,16.1307,119.7824,80.28,84,98,7.65,light rain
214,Garissa,KE,-0.4536,39.6401,80.83,49,56,21.94,broken clouds
215,Svetlaya,RU,46.5389,138.3297,52.9,95,100,7.05,overcast clouds
216,Alegrete,BR,-29.7831,-55.7919,63.25,51,97,15.79,overcast clouds
217,Kidal,ML,18.4411,1.4078,98.47,7,8,8.88,clear sky
218,Krasnoselkup,RU,65.7,82.4667,28.78,93,79,12.08,broken clouds
219,Shimoda,JP,34.6667,138.95,74.39,85,84,6.89,broken clouds
220,Marondera,ZW,-18.1853,31.5519,62.78,23,7,6.06,clear sky
221,Nuevitas,CU,21.5453,-77.2644,85.57,69,18,13.0,few clouds
222,Mehriz,IR,31.5917,54.4318,81.32,14,54,1.07,broken clouds
223,San Vicente,AR,-26.6167,-54.1333,77.07,55,72,7.96,light rain
224,Kirgiz-Miyaki,RU,53.6324,54.7979,47.98,50,100,8.05,light rain
225,Whitehorse,CA,60.7161,-135.0538,44.1,92,100,5.82,overcast clouds
226,Madimba,TZ,-10.4,40.3333,74.3,81,20,9.46,few clouds
227,Talnakh,RU,69.4865,88.3972,30.2,87,22,3.2,few clouds
228,Ponta Do Sol,PT,32.6667,-17.1,75.7,52,68,2.51,broken clouds
229,Uwajima,JP,33.2238,132.56,73.49,94,27,5.68,scattered clouds
230,Mar Del Plata,AR,-38.0023,-57.5575,54.43,55,0,10.02,clear sky
231,Zhigansk,RU,66.7697,123.3711,36.43,85,100,11.18,overcast clouds
232,Morant Bay,JM,17.8815,-76.4093,92.62,65,10,10.36,clear sky
233,Asfi,MA,32.2994,-9.2372,70.84,77,4,9.62,clear sky
234,Ust-Ilimsk,RU,58.0006,102.6619,34.14,91,17,4.9,few clouds
235,Touros,BR,-5.1989,-35.4608,83.44,60,40,14.05,scattered clouds
236,Mitchell,US,43.7094,-98.0298,66.11,45,39,5.99,scattered clouds
237,Anadyr,RU,64.75,177.4833,33.46,98,100,4.05,light snow
238,Olga,RU,43.7444,135.2892,57.43,98,100,8.08,overcast clouds
239,Rathdrum,US,47.8137,-116.892,63.43,61,0,1.01,clear sky
240,Marzuq,YE,14.4,46.4667,81.23,54,84,5.91,broken clouds
241,Hofn,IS,64.2539,-15.2082,47.16,78,88,51.43,overcast clouds
242,Tabou,CI,4.423,-7.3528,78.08,87,53,7.58,light rain
243,Baturyn,UA,51.3457,32.8779,41.86,94,100,10.67,overcast clouds
244,Airai,TL,-8.9266,125.4092,59.23,80,91,2.95,overcast clouds
245,College,US,64.8569,-147.8028,33.58,72,100,1.99,overcast clouds
246,Puerto Maldonado,PE,-12.6,-69.1833,94.08,40,77,1.21,broken clouds
247,Qaanaaq,GL,77.484,-69.3632,14.54,71,46,7.67,scattered clouds
248,Thinadhoo,MV,0.5333,72.9333,83.86,75,5,15.5,clear sky
249,South Sioux City,US,42.4739,-96.4136,66.29,42,2,8.01,clear sky
250,Mount Isa,AU,-20.7333,139.5,54.25,20,44,22.57,scattered clouds
251,Brae,GB,60.3964,-1.353,55.69,87,100,29.33,overcast clouds
252,Espanola,US,35.9911,-106.0806,71.83,31,8,15.46,clear sky
253,Berlevag,NO,70.8578,29.0864,43.11,68,13,25.99,few clouds
254,Lebu,CL,-37.6167,-73.65,56.97,61,0,9.33,clear sky
255,Rognan,NO,67.0953,15.3878,43.25,94,93,9.75,overcast clouds
256,Hanzhong,CN,33.0728,107.0303,67.19,86,11,1.03,few clouds
257,Jurm,AF,36.8648,70.8342,59.05,41,0,1.45,clear sky
258,Miraflores,MX,19.2167,-98.8083,70.86,46,90,3.87,overcast clouds
259,Jalu,LY,29.0331,21.5482,92.1,15,0,10.4,clear sky
260,Ust-Nera,RU,64.5667,143.2,31.03,75,7,3.67,clear sky
261,Kibala,TD,9.1104,18.3463,77.38,84,52,2.06,broken clouds
262,Kribi,CM,2.95,9.9167,76.73,90,61,7.27,light rain
263,Mazsalaca,LV,57.8633,25.0547,43.0,93,100,5.64,overcast clouds
264,Avera,US,33.194,-82.5271,83.75,81,97,4.99,overcast clouds
265,Isla Vista,US,34.4133,-119.861,99.07,62,0,3.83,clear sky
266,Namatanai,PG,-3.6667,152.4333,77.9,84,100,3.38,overcast clouds
267,Piacabucu,BR,-10.4056,-36.4344,80.74,64,47,10.63,scattered clouds
268,Lazaro Cardenas,MX,17.9583,-102.2,85.12,68,87,3.2,overcast clouds
269,Vokhma,RU,58.9303,46.7586,38.59,83,99,6.33,overcast clouds
270,Kisangani,CD,0.5167,25.2,71.94,90,97,1.39,overcast clouds
271,Kurilsk,RU,45.2333,147.8833,56.62,95,91,9.44,overcast clouds
272,Puerto Padre,CU,21.195,-76.6028,90.25,56,49,14.38,scattered clouds
273,Diego De Almagro,CL,-26.3667,-70.05,74.61,19,99,8.34,overcast clouds
274,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.29,69,5,12.21,clear sky
275,Neuquen,AR,-38.9516,-68.0591,68.4,23,0,23.0,clear sky
276,Staryy Nadym,RU,65.6118,72.6842,33.87,83,97,13.27,overcast clouds
277,Atasu,KZ,48.6814,71.6433,39.49,54,11,10.18,few clouds
278,Samarai,PG,-10.6167,150.6667,78.04,84,99,13.02,overcast clouds
279,Oktyabrskiy,RU,54.4815,53.471,48.25,65,99,4.36,overcast clouds
280,Dikson,RU,73.5069,80.5464,33.3,72,81,1.32,broken clouds
281,Manado,ID,1.487,124.8455,76.87,88,100,4.0,overcast clouds
282,Kamenka,RU,51.3223,42.7678,54.43,68,97,4.61,overcast clouds
283,Paamiut,GL,61.994,-49.6678,34.39,57,100,6.4,overcast clouds
284,Axim,GH,4.8699,-2.2405,77.52,87,33,8.01,scattered clouds
285,Angoche,MZ,-16.2325,39.9086,75.78,77,4,11.86,clear sky
286,Chapleau,CA,47.8405,-83.4034,59.86,73,99,11.14,overcast clouds
287,Awjilah,LY,29.1081,21.2869,92.3,15,0,9.98,clear sky
288,Yeppoon,AU,-23.1333,150.7333,53.74,38,0,17.16,clear sky
289,Asau,RO,46.4333,26.4,49.95,71,61,1.34,broken clouds
290,Ca Mau,VN,9.1769,105.15,76.77,90,73,3.96,broken clouds
291,Uray,RU,60.1247,64.7758,41.92,78,92,8.41,overcast clouds
292,Nemuro,JP,43.3236,145.575,60.78,94,53,17.85,broken clouds
293,Tanete,ID,-3.9443,119.7848,71.6,92,100,4.18,overcast clouds
294,Tautira,PF,-17.7333,-149.15,77.54,74,22,9.62,few clouds
