City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Upernavik,GL,2021-09-21 15:43:38,72.7868,-56.1549,23.68,54,13,5.3
108,Xinxiang,CN,2021-09-21 15:52:17,35.3089,113.8672,71.1,59,0,4.25
109,Valparaiso,CL,2021-09-21 15:40:03,-33.0393,-71.6273,57.51,77,31,12.12
110,Krasnoselkup,RU,2021-09-21 15:50:57,65.7,82.4667,29.95,89,96,12.03
111,Chokurdakh,RU,2021-09-21 15:40:33,70.6333,147.9167,29.95,62,100,8.05
112,Port Hedland,AU,2021-09-21 15:44:08,-20.3167,118.5667,81.7,36,99,20.58
113,Talara,PE,2021-09-21 15:52:18,-4.5772,-81.2719,71.44,70,20,18.03
114,Dunedin,NZ,2021-09-21 15:49:31,-45.8742,170.5036,45.81,69,8,3.0
115,Alakurtti,RU,2021-09-21 15:52:18,66.9672,30.3491,39.63,82,61,4.27
116,Pontes E Lacerda,BR,2021-09-21 15:52:19,-15.2261,-59.3353,106.41,11,63,4.68
117,Chuy,UY,2021-09-21 15:43:19,-33.6971,-53.4616,58.19,64,2,16.02
118,Sisimiut,GL,2021-09-21 15:39:54,66.9395,-53.6735,35.29,66,83,10.0
119,Guasdualito,VE,2021-09-21 15:52:19,7.2424,-70.7324,80.02,89,96,2.91
120,Atar,MR,2021-09-21 15:44:05,20.5169,-13.0499,103.05,14,5,12.44
121,Jiblah,YE,2021-09-21 15:52:19,13.9216,44.1467,69.67,64,96,1.57
122,Aktash,RU,2021-09-21 15:52:19,50.3,87.7333,25.38,70,91,3.29
123,New Norfolk,AU,2021-09-21 15:42:29,-42.7826,147.0587,52.72,72,100,5.99
124,Luwuk,ID,2021-09-21 15:52:20,-0.9516,122.7875,73.06,88,100,4.5
125,Vila Velha,BR,2021-09-21 15:43:47,-20.3297,-40.2925,85.46,60,0,11.7
126,Los Llanos De Aridane,ES,2021-09-21 15:43:58,28.6585,-17.9182,71.13,78,13,8.66
127,Manavalakurichi,IN,2021-09-21 15:52:20,8.1333,77.3,80.35,84,13,15.03
128,Deniliquin,AU,2021-09-21 15:52:20,-35.5333,144.9667,46.99,85,53,5.97
129,Tura,IN,2021-09-21 15:42:32,25.5198,90.2201,72.93,85,100,3.36
130,Ankang,CN,2021-09-21 15:52:21,32.68,109.0172,69.94,86,21,0.36
131,Srednekolymsk,RU,2021-09-21 15:44:36,67.45,153.6833,27.05,68,61,5.21
132,Victor Harbor,AU,2021-09-21 15:44:54,-35.5667,138.6167,52.81,92,99,9.19
133,Kieta,PG,2021-09-21 15:42:44,-6.2167,155.6333,77.52,85,100,4.16
134,Yinchuan,CN,2021-09-21 15:52:21,38.4681,106.2731,73.65,19,99,3.8
135,Gizo,SB,2021-09-21 15:42:37,-8.103,156.8419,80.74,77,73,5.53
136,Esperance,AU,2021-09-21 15:42:45,-33.8667,121.9,56.52,41,0,16.31
137,Shimoda,JP,2021-09-21 15:43:08,34.6667,138.95,73.85,81,77,7.72
138,Dzaoudzi,YT,2021-09-21 15:52:22,-12.7887,45.2699,77.63,75,68,1.21
139,Morrope,PE,2021-09-21 15:43:52,-6.5417,-80.0111,71.8,61,51,13.53
140,Asyut,EG,2021-09-21 15:44:36,27.181,31.1837,97.14,13,0,15.64
141,Saint-Pierre,RE,2021-09-21 15:42:44,-21.3393,55.4781,68.29,62,2,10.09
142,Nusaybin,TR,2021-09-21 15:52:22,37.0778,41.2178,85.87,16,0,6.06
143,Tuatapere,NZ,2021-09-21 15:42:34,-46.1333,167.6833,45.82,90,72,3.8
144,Belmonte,BR,2021-09-21 15:52:22,-15.8631,-38.8828,81.99,65,33,12.68
145,San Vicente,AR,2021-09-21 15:52:23,-26.6167,-54.1333,77.25,55,84,8.08
146,Izumo,JP,2021-09-21 15:50:05,35.3667,132.7667,73.15,83,27,7.38
147,Wukari,NG,2021-09-21 15:52:23,7.85,9.7833,78.26,83,98,5.32
148,Khatanga,RU,2021-09-21 15:42:42,71.9667,102.5,30.79,94,100,9.46
149,Kodiak,US,2021-09-21 15:43:02,57.79,-152.4072,40.78,53,0,22.62
150,Padang,ID,2021-09-21 15:44:41,-0.9492,100.3543,77.85,86,98,4.25
151,Bodden Town,KY,2021-09-21 15:52:24,19.2833,-81.25,88.93,75,6,10.33
152,Baker City,US,2021-09-21 15:52:24,44.7749,-117.8344,53.19,40,0,4.18
153,Airai,TL,2021-09-21 15:43:12,-8.9266,125.4092,59.86,80,98,3.27
154,Berbera,SO,2021-09-21 15:48:13,10.4396,45.0143,89.55,66,3,0.65
155,Thompson,CA,2021-09-21 15:42:27,55.7435,-97.8558,42.3,67,100,2.08
156,Junnar,IN,2021-09-21 15:52:25,19.2,73.8833,70.97,94,98,6.69
157,Fortuna,US,2021-09-21 15:42:31,40.5982,-124.1573,71.13,35,0,3.62
158,Opuwo,NA,2021-09-21 15:50:07,-18.0607,13.84,94.39,11,11,7.14
159,Aborlan,PH,2021-09-21 15:52:25,9.4352,118.5492,77.86,87,99,0.83
160,Poplar Bluff,US,2021-09-21 15:52:25,36.757,-90.3929,78.67,91,100,2.04
161,Kuliyapitiya,LK,2021-09-21 15:52:25,7.4688,80.0401,78.06,88,13,5.08
162,Mineiros,BR,2021-09-21 15:52:25,-17.5694,-52.5511,100.99,11,28,4.07
163,Vostok,RU,2021-09-21 15:44:12,46.4856,135.8833,49.15,98,100,3.65
164,Ancud,CL,2021-09-21 15:42:33,-41.8697,-73.8203,54.5,61,0,1.86
165,San Patricio,US,2021-09-21 15:43:17,28.017,-97.5169,91.87,55,0,7.58
166,Karasjok,NO,2021-09-21 15:52:26,69.4719,25.5112,40.87,66,85,21.21
167,Storforshei,NO,2021-09-21 15:52:26,66.4043,14.5233,44.65,98,100,5.61
168,Hambantota,LK,2021-09-21 15:44:21,6.1241,81.1185,80.82,80,12,15.88
169,Luderitz,NA,2021-09-21 15:43:20,-26.6481,15.1594,70.9,43,3,13.62
170,Lakatoro,VU,2021-09-21 15:44:45,-16.0999,167.4164,76.17,78,44,8.39
171,Husavik,IS,2021-09-21 15:50:05,66.0449,-17.3389,41.95,91,91,3.13
172,Castro,BR,2021-09-21 15:43:03,-24.7911,-50.0119,89.44,26,2,6.35
173,Podgornoye,RU,2021-09-21 15:52:27,51.735,39.1496,50.9,87,100,4.7
174,Souillac,MU,2021-09-21 15:44:47,-20.5167,57.5167,71.37,69,10,12.59
175,Olavarria,AR,2021-09-21 15:44:14,-36.8927,-60.3225,59.22,40,0,7.09
176,Taoudenni,ML,2021-09-21 15:44:32,22.6783,-3.9836,111.16,6,0,2.17
177,Port Macquarie,AU,2021-09-21 15:52:28,-31.4333,152.9167,52.65,74,77,18.75
178,Axim,GH,2021-09-21 15:43:06,4.8699,-2.2405,79.97,78,36,10.13
179,Faanui,PF,2021-09-21 15:43:01,-16.4833,-151.75,78.08,73,6,8.99
180,Harper,LR,2021-09-21 15:44:32,4.375,-7.7169,80.04,80,43,9.69
181,Antofagasta,CL,2021-09-21 15:52:28,-23.65,-70.4,64.15,66,97,8.93
182,Clyde River,CA,2021-09-21 15:43:19,70.4692,-68.5914,30.6,70,59,8.3
183,Nenjiang,CN,2021-09-21 15:50:49,49.1833,125.2167,53.78,85,100,12.84
184,Tateyama,JP,2021-09-21 15:43:15,34.9833,139.8667,74.03,85,84,5.14
185,Pachino,IT,2021-09-21 15:52:29,36.7186,15.0907,85.6,74,100,8.16
186,Probistip,MK,2021-09-21 15:51:01,42.0031,22.1786,66.92,43,8,8.86
187,Scarborough,GB,2021-09-21 15:52:29,54.2797,-0.4044,71.78,53,79,1.01
188,Progreso,MX,2021-09-21 15:50:11,21.2833,-89.6667,88.11,67,25,9.08
189,Bereda,ES,2021-09-21 15:44:36,43.2686,-7.5406,70.0,67,8,9.4
190,Dingle,PH,2021-09-21 15:43:56,10.9995,122.6711,75.63,90,100,2.55
191,Hami,CN,2021-09-21 15:44:44,42.8,93.45,72.57,25,22,5.86
192,Katsuura,JP,2021-09-21 15:43:24,35.1333,140.3,74.19,89,97,3.74
193,Murindo,CO,2021-09-21 15:52:30,6.9848,-76.7544,85.84,71,86,2.57
194,Paralimni,CY,2021-09-21 15:52:30,35.0375,33.9833,80.11,80,0,7.0
195,Katherine,AU,2021-09-21 15:44:48,-14.4667,132.2667,75.15,39,64,11.48
196,Leningradskiy,RU,2021-09-21 15:43:53,69.3833,178.4167,22.82,91,100,13.31
197,Nantucket,US,2021-09-21 15:43:07,41.2835,-70.0995,75.09,82,94,8.68
198,Kilosa,TZ,2021-09-21 15:52:30,-6.8333,36.9833,78.03,53,78,4.34
199,Hamilton,US,2021-09-21 15:52:31,39.1834,-84.5333,71.26,95,98,1.01
200,Chateauroux,FR,2021-09-21 15:52:31,46.8167,1.7,67.62,53,39,9.28
201,Qasigiannguit,GL,2021-09-21 15:43:54,68.8193,-51.1922,28.67,87,90,0.51
202,Vavozh,RU,2021-09-21 15:52:31,56.7751,51.931,41.5,69,100,6.29
203,Santa Cruz De La Palma,ES,2021-09-21 15:52:31,28.6835,-17.7642,75.15,78,35,13.29
204,Abalak,RU,2021-09-21 15:52:31,58.1286,68.5944,38.71,74,100,5.84
205,Sorong,ID,2021-09-21 15:52:32,-0.8833,131.25,77.88,89,100,6.89
206,Cabedelo,BR,2021-09-21 15:44:26,-6.9811,-34.8339,81.99,62,8,11.32
207,Batagay-Alyta,RU,2021-09-21 15:52:32,67.8006,130.4114,30.76,88,100,2.93
208,Levelland,US,2021-09-21 15:52:32,33.5873,-102.378,66.18,35,100,21.56
209,Togur,RU,2021-09-21 15:52:32,58.3631,82.8265,34.57,94,100,10.0
210,Kavieng,PG,2021-09-21 15:43:15,-2.5744,150.7967,81.45,76,100,9.55
211,Batagay,RU,2021-09-21 15:50:52,67.6333,134.6333,32.67,81,100,3.4
212,Cherskiy,RU,2021-09-21 15:52:33,68.75,161.3,25.79,74,82,3.53
213,Vestmannaeyjar,IS,2021-09-21 15:44:25,63.4427,-20.2734,44.91,79,100,50.6
214,Seymchan,RU,2021-09-21 15:44:12,62.8833,152.4333,31.51,89,100,4.79
215,Tazovskiy,RU,2021-09-21 15:50:35,67.4667,78.7,34.11,76,100,13.82
216,Wangkui,CN,2021-09-21 15:52:33,46.8333,126.5,54.68,98,100,9.8
217,Yeppoon,AU,2021-09-21 15:44:06,-23.1333,150.7333,55.26,35,0,19.33
218,Ivrea,IT,2021-09-21 15:48:05,45.4672,7.8762,74.84,62,36,3.62
219,High Level,CA,2021-09-21 15:43:11,58.5169,-117.136,56.23,63,69,5.57
220,Naryan-Mar,RU,2021-09-21 15:52:34,67.6713,53.087,39.4,84,82,8.41
221,Bartica,GY,2021-09-21 15:50:00,6.4,-58.6167,81.82,89,73,4.05
222,Marmora,IT,2021-09-21 15:52:34,44.4583,7.094,63.0,78,91,3.31
223,Praia,CV,2021-09-21 15:43:15,14.9215,-23.5087,82.63,71,35,13.15
224,Flin Flon,CA,2021-09-21 15:52:34,54.7682,-101.865,49.55,54,56,3.06
225,Skibbereen,IE,2021-09-21 15:52:35,51.55,-9.2667,64.04,76,97,9.71
226,Tasiilaq,GL,2021-09-21 15:43:53,65.6145,-37.6368,30.67,56,100,4.97
227,Gigmoto,PH,2021-09-21 15:52:35,13.7796,124.39,81.09,86,95,7.94
228,Kruisfontein,ZA,2021-09-21 15:52:35,-34.0033,24.7314,57.88,71,74,6.44
229,Talnakh,RU,2021-09-21 15:44:13,69.4865,88.3972,30.54,87,17,1.7
230,Bagotville,AU,2021-09-21 15:52:35,-28.9833,153.4167,49.78,54,76,14.9
231,Tres Arroyos,AR,2021-09-21 15:52:36,-38.3739,-60.2798,60.12,40,0,4.21
232,Nioro,GM,2021-09-21 15:43:00,13.35,-15.75,91.62,58,99,6.06
233,Quatre Cocos,MU,2021-09-21 15:49:36,-20.2078,57.7625,71.1,69,46,14.5
234,Lamar,US,2021-09-21 15:42:39,33.6668,-95.5836,75.52,76,62,15.88
235,Sarab,IR,2021-09-21 15:52:36,38.6066,44.9883,73.96,27,0,4.76
236,Fiumicino,IT,2021-09-21 15:49:50,41.7675,12.2291,82.35,61,14,6.53
237,Zhigansk,RU,2021-09-21 15:44:26,66.7697,123.3711,36.39,86,100,9.42
238,Sept-Iles,CA,2021-09-21 15:46:01,50.2001,-66.3821,64.06,72,95,5.01
239,Sao Jose Da Coroa Grande,BR,2021-09-21 15:51:06,-8.8978,-35.1478,81.19,60,17,7.05
240,Lompoc,US,2021-09-21 15:43:34,34.6391,-120.4579,75.16,40,0,3.11
241,Taltal,CL,2021-09-21 15:51:12,-25.4,-70.4833,62.1,70,85,6.53
242,Auki,SB,2021-09-21 15:43:23,-8.7676,160.7034,76.35,90,71,2.77
243,Damietta,EG,2021-09-21 15:52:37,31.4165,31.8133,81.52,63,0,10.4
244,Tautira,PF,2021-09-21 15:43:21,-17.7333,-149.15,77.45,75,17,10.45
245,Butaritari,KI,2021-09-21 15:52:38,3.0707,172.7902,82.62,70,92,16.75
246,Lashio,MM,2021-09-21 15:52:38,22.9333,97.75,66.34,98,98,1.39
247,Kankakee,US,2021-09-21 15:52:38,41.15,-87.8667,66.04,97,100,11.32
248,Denpasar,ID,2021-09-21 15:49:40,-8.65,115.2167,77.14,87,95,5.01
249,Kholuy,RU,2021-09-21 15:52:38,56.575,41.8692,42.15,86,100,12.59
250,Nishihara,JP,2021-09-21 15:44:15,26.1842,127.7558,79.09,80,0,5.21
251,Manaure,CO,2021-09-21 15:43:59,11.7751,-72.4445,88.45,60,100,9.24
252,Lanxi,CN,2021-09-21 15:52:39,29.2195,119.477,71.38,79,0,1.63
253,Kedgwick,CA,2021-09-21 15:52:39,47.6446,-67.3434,65.93,54,82,10.74
254,Byron Bay,AU,2021-09-21 15:44:29,-28.65,153.6167,56.05,83,72,21.47
255,Vegreville,CA,2021-09-21 15:52:39,53.5001,-112.0518,56.61,35,91,9.98
256,Alyangula,AU,2021-09-21 15:49:37,-13.8483,136.4192,79.65,48,90,23.24
257,Dawei,MM,2021-09-21 15:52:40,14.0833,98.2,75.45,96,100,5.64
258,Shirgaon,IN,2021-09-21 15:52:40,19.7,72.7,79.74,87,100,8.81
259,Humberto De Campos,BR,2021-09-21 15:52:40,-2.5983,-43.4611,88.32,52,78,10.65
260,Lerwick,GB,2021-09-21 15:50:49,60.1545,-1.1494,56.3,86,100,29.04
261,Omboue,GA,2021-09-21 15:50:18,-1.5746,9.2618,77.34,78,100,10.31
262,Tamiami,US,2021-09-21 15:52:41,25.7587,-80.3984,84.97,82,90,7.94
263,Labuhan,ID,2021-09-21 15:43:14,-6.8844,112.2051,79.88,79,100,7.36
264,Araouane,ML,2021-09-21 15:52:41,18.9048,-3.5265,106.52,11,4,4.79
265,Meadow Lake,US,2021-09-21 15:52:41,34.8014,-106.5436,66.61,34,0,10.11
266,Hay River,CA,2021-09-21 15:44:55,60.8156,-115.7999,47.26,84,100,10.22
267,Saint George,US,2021-09-21 15:43:44,37.1041,-113.5841,68.79,26,0,1.01
268,Qaqortoq,GL,2021-09-21 15:52:41,60.7167,-46.0333,39.0,48,100,9.46
269,Bethel,US,2021-09-21 15:52:42,41.3712,-73.414,72.55,73,28,1.01
270,Aklavik,CA,2021-09-21 15:43:31,68.2191,-135.0107,31.69,97,100,14.99
271,Arraial Do Cabo,BR,2021-09-21 15:42:45,-22.9661,-42.0278,75.78,74,0,1.86
272,Klaksvik,FO,2021-09-21 15:42:44,62.2266,-6.589,54.68,92,100,40.26
273,Vallenar,CL,2021-09-21 15:52:42,-28.5708,-70.7581,67.69,35,64,6.24
274,The Pas,CA,2021-09-21 15:52:42,53.8251,-101.2541,50.18,62,11,3.04
275,Nouakchott,MR,2021-09-21 15:52:19,18.0858,-15.9785,90.12,50,10,14.14
276,Coquimbo,CL,2021-09-21 15:50:08,-29.9533,-71.3436,57.67,69,86,7.11
277,Matamoros,MX,2021-09-21 15:47:44,25.5333,-103.25,83.1,42,73,7.54
278,Caravelas,BR,2021-09-21 15:43:37,-17.7125,-39.2481,84.87,57,4,13.27
279,Gallup,US,2021-09-21 15:52:43,35.5281,-108.7426,64.08,16,1,5.97
280,Faya,SA,2021-09-21 15:43:51,18.3851,42.4509,72.12,43,87,3.6
281,Trincomalee,LK,2021-09-21 15:52:43,8.5711,81.2335,83.41,70,38,9.69
282,Passau,DE,2021-09-21 15:47:52,48.5712,13.449,62.11,69,70,2.39
283,Vostochnyy,RU,2021-09-21 15:52:43,55.8167,37.8667,41.95,95,100,10.78
284,Lebanon,US,2021-09-21 15:52:44,36.2081,-86.2911,78.8,74,17,5.93
285,Belle Fourche,US,2021-09-21 15:52:44,44.6714,-103.8522,60.89,37,5,6.44
286,Sarangani,PH,2021-09-21 15:52:44,5.4033,125.4636,82.72,70,97,0.92
287,Fairbanks,US,2021-09-21 15:40:02,64.8378,-147.7164,30.02,77,100,3.6
288,Olafsvik,IS,2021-09-21 15:43:39,64.8945,-23.7142,40.28,91,100,38.9
289,Molina,CL,2021-09-21 15:52:44,-35.1167,-71.2833,65.53,48,0,6.35
290,Tomioka,JP,2021-09-21 15:52:44,36.25,138.9,70.77,79,4,3.18
291,Ponta Do Sol,PT,2021-09-21 15:43:01,32.6667,-17.1,79.12,47,72,1.52
292,Constantine,DZ,2021-09-21 15:52:45,36.365,6.6147,84.02,35,47,4.36
293,Isla Mujeres,MX,2021-09-21 15:52:45,21.2311,-86.731,84.94,70,52,8.52
294,Hashtgerd,IR,2021-09-21 15:52:45,35.9642,50.6858,78.4,21,0,5.19
295,Henties Bay,NA,2021-09-21 15:44:45,-22.116,14.2845,61.12,71,3,7.61
